"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","12.00","12.10","12.10","12.00","7.60K","-0.83%"
"12/28/2023","12.10","13.00","13.00","12.00","5.31K","0.83%"
"12/27/2023","12.00","11.80","12.00","11.80","34.98K","5.26%"
"12/22/2023","11.40","12.00","12.00","11.40","83.36K","-5.00%"
"12/21/2023","12.00","12.10","12.10","11.90","57.11K","0.00%"
"12/20/2023","12.00","12.00","12.20","12.00","89.78K","-0.83%"
"12/19/2023","12.10","12.30","12.50","12.10","73.12K","-2.42%"
"12/18/2023","12.40","12.50","12.80","12.30","1.73K","-0.80%"
"12/15/2023","12.50","12.50","12.50","12.50","0.25K","0.00%"
"12/14/2023","12.50","12.70","12.70","12.50","6.15K","0.00%"
"12/13/2023","12.50","12.50","12.50","12.30","63.39K","-3.10%"
"12/12/2023","12.90","13.20","13.20","12.50","6.49K","3.20%"
"12/11/2023","12.50","13.00","13.00","12.50","2.06K","-3.85%"
"12/08/2023","13.00","13.30","13.30","12.50","1.18K","5.69%"
"12/07/2023","12.30","12.40","13.30","12.30","0.32K","0.00%"
"12/06/2023","12.30","13.10","13.10","12.30","1.42K","-5.38%"
"12/05/2023","13.00","13.10","13.10","12.00","118.42K","-3.70%"
"12/04/2023","13.50","13.60","13.60","13.00","16.79K","3.05%"
"12/01/2023","13.10","14.00","14.00","13.10","6.33K","-6.43%"
"11/30/2023","14.00","13.60","14.00","12.90","87.46K","6.87%"
"11/29/2023","13.10","13.40","13.50","13.10","1.13K","0.77%"
"11/28/2023","13.00","13.10","13.10","12.90","3.15K","-1.52%"
"11/24/2023","13.20","13.30","13.30","13.20","23.66K","-1.49%"
"11/23/2023","13.40","13.60","13.60","13.40","17.18K","-2.19%"
"11/22/2023","13.70","13.80","13.80","13.40","64.99K","-3.52%"
"11/21/2023","14.20","14.20","14.20","14.10","20.03K","2.90%"
"11/20/2023","13.80","14.20","14.20","13.80","1.54K","-4.83%"
"11/17/2023","14.50","14.40","14.50","14.00","5.19K","0.69%"
"11/16/2023","14.40","15.30","15.30","14.00","39.41K","-6.49%"
"11/15/2023","15.40","15.50","15.50","14.60","0.06K","0.00%"
"11/14/2023","15.40","15.40","15.40","14.60","3.78K","0.00%"
"11/13/2023","15.40","15.40","15.50","14.60","18.83K","4.76%"
"11/10/2023","14.70","14.60","14.70","14.40","3.33K","0.68%"
